event_id,timestamp,camera_id,track_id,violation_type,severity,confidence,duration_sec,zone_id,bbox_person,bbox_ppe,snapshot_path,clip_path
1770245485_cam_1_35_IN_DANGER_ZONE,1770245485.6003213,cam_1,35,IN_DANGER_ZONE,HIGH,0.705649197101593,1.0590543746948242,zone_1,"(91.06211853027344, 115.66162109375, 185.6625213623047, 315.5633544921875)",None,output\snapshots\1770245485_cam_1_35_IN_DANGER_ZONE.jpg,output\clips\1770245485_cam_1_35_IN_DANGER_ZONE.mp4
1770245505_cam_1_2_IN_DANGER_ZONE,1770245505.983665,cam_1,2,IN_DANGER_ZONE,HIGH,0.7932690978050232,1.047506332397461,zone_1,"(139.72804260253906, 168.38299560546875, 273.59893798828125, 447.8948669433594)",None,output\snapshots\1770245505_cam_1_2_IN_DANGER_ZONE.jpg,output\clips\1770245505_cam_1_2_IN_DANGER_ZONE.mp4
1770245506_cam_1_1_NO_HELMET,1770245506.9664538,cam_1,1,NO_HELMET,MEDIUM,0.8401066660881042,2.0302951335906982,,"(276.46466064453125, 230.34829711914062, 398.9449462890625, 477.5182800292969)",None,output\snapshots\1770245506_cam_1_1_NO_HELMET.jpg,output\clips\1770245506_cam_1_1_NO_HELMET.mp4
1770245507_cam_1_1_NO_VEST,1770245507.0201693,cam_1,1,NO_VEST,MEDIUM,0.8401066660881042,2.0302951335906982,,"(276.46466064453125, 230.34829711914062, 398.9449462890625, 477.5182800292969)",None,output\snapshots\1770245507_cam_1_1_NO_VEST.jpg,output\clips\1770245507_cam_1_1_NO_VEST.mp4
1770245507_cam_1_2_NO_HELMET,1770245507.066971,cam_1,2,NO_HELMET,MEDIUM,0.8088532090187073,2.130812406539917,zone_1,"(151.1034698486328, 171.56997680664062, 297.89208984375, 449.02655029296875)",None,output\snapshots\1770245507_cam_1_2_NO_HELMET.jpg,output\clips\1770245507_cam_1_2_NO_HELMET.mp4
1770245507_cam_1_2_NO_VEST,1770245507.1185384,cam_1,2,NO_VEST,MEDIUM,0.8088532090187073,2.130812406539917,zone_1,"(151.1034698486328, 171.56997680664062, 297.89208984375, 449.02655029296875)",None,output\snapshots\1770245507_cam_1_2_NO_VEST.jpg,output\clips\1770245507_cam_1_2_NO_VEST.mp4
1770245507_cam_1_5_NO_HELMET,1770245507.8560605,cam_1,5,NO_HELMET,MEDIUM,0.42132776975631714,2.4194295406341553,,"(262.2437438964844, 91.817138671875, 320.8403625488281, 160.15377807617188)",None,output\snapshots\1770245507_cam_1_5_NO_HELMET.jpg,output\clips\1770245507_cam_1_5_NO_HELMET.mp4
1770245507_cam_1_5_NO_VEST,1770245507.926782,cam_1,5,NO_VEST,MEDIUM,0.42132776975631714,2.4194295406341553,,"(262.2437438964844, 91.817138671875, 320.8403625488281, 160.15377807617188)",None,output\snapshots\1770245507_cam_1_5_NO_VEST.jpg,output\clips\1770245507_cam_1_5_NO_VEST.mp4
1770245517_cam_1_5_NO_HELMET,1770245517.861087,cam_1,5,NO_HELMET,MEDIUM,0.44650131464004517,12.424456119537354,,"(265.7327880859375, 77.5143051147461, 325.76678466796875, 157.30931091308594)",None,output\snapshots\1770245517_cam_1_5_NO_HELMET.jpg,output\clips\1770245517_cam_1_5_NO_HELMET.mp4
1770245517_cam_1_5_NO_VEST,1770245517.9413285,cam_1,5,NO_VEST,MEDIUM,0.44650131464004517,12.424456119537354,,"(265.7327880859375, 77.5143051147461, 325.76678466796875, 157.30931091308594)",None,output\snapshots\1770245517_cam_1_5_NO_VEST.jpg,output\clips\1770245517_cam_1_5_NO_VEST.mp4
1770245518_cam_1_13_IN_DANGER_ZONE,1770245518.0665555,cam_1,13,IN_DANGER_ZONE,HIGH,0.5572500824928284,1.0632197856903076,zone_1,"(388.2467041015625, 148.54367065429688, 497.27874755859375, 427.8168640136719)",None,output\snapshots\1770245518_cam_1_13_IN_DANGER_ZONE.jpg,output\clips\1770245518_cam_1_13_IN_DANGER_ZONE.mp4
1770245518_cam_1_13_NO_HELMET,1770245518.37621,cam_1,13,NO_HELMET,MEDIUM,0.5302459001541138,2.0398154258728027,zone_1,"(387.9639892578125, 149.62367248535156, 496.1601257324219, 429.36956787109375)",None,output\snapshots\1770245518_cam_1_13_NO_HELMET.jpg,output\clips\1770245518_cam_1_13_NO_HELMET.mp4
1770245518_cam_1_13_NO_VEST,1770245518.4485164,cam_1,13,NO_VEST,MEDIUM,0.5302459001541138,2.0398154258728027,zone_1,"(387.9639892578125, 149.62367248535156, 496.1601257324219, 429.36956787109375)",None,output\snapshots\1770245518_cam_1_13_NO_VEST.jpg,output\clips\1770245518_cam_1_13_NO_VEST.mp4
1770245519_cam_1_16_NO_HELMET,1770245519.797195,cam_1,16,NO_HELMET,MEDIUM,0.416217565536499,2.0370311737060547,zone_1,"(167.6073455810547, 224.99029541015625, 316.146240234375, 451.968994140625)",None,output\snapshots\1770245519_cam_1_16_NO_HELMET.jpg,output\clips\1770245519_cam_1_16_NO_HELMET.mp4
1770245519_cam_1_16_NO_VEST,1770245519.8745728,cam_1,16,NO_VEST,MEDIUM,0.416217565536499,2.0370311737060547,zone_1,"(167.6073455810547, 224.99029541015625, 316.146240234375, 451.968994140625)",None,output\snapshots\1770245519_cam_1_16_NO_VEST.jpg,output\clips\1770245519_cam_1_16_NO_VEST.mp4
